# Pool nama untuk KLIEN PERORANGAN (pemilik rumah; gender campur).
# Delimiter '|'. Kolom: kind|value   (kind: first_m | first_f | last)
# Generator memilih first + last; nama DEPAN dijamin UNIK antar klien perorangan
# (tidak ada duplikasi depan) -> tiap klien terasa orang berbeda, bukan template.
first_m|Arif
first_m|Bambang
first_m|Darmawan
first_m|Erlangga
first_m|Faisal
first_m|Gunawan
first_m|Hariyanto
first_m|Imam
first_m|Junaedi
first_m|Kurnia
first_m|Listanto
first_m|Marwan
first_m|Nugroho
first_m|Oki
first_m|Prabowo
first_m|Qomar
first_m|Ridwan
first_m|Slamet
first_m|Tono
first_m|Usman
first_m|Wahyudi
first_m|Yanto
first_m|Zulkifli
first_m|Hendrik
first_m|Maman
first_f|Anggraini
first_f|Bunga
first_f|Cinta
first_f|Dahlia
first_f|Endah
first_f|Farida
first_f|Gabriella
first_f|Hesti
first_f|Intan
first_f|Julia
first_f|Kartika
first_f|Lestari
first_f|Mawar
first_f|Novita
first_f|Olivia
first_f|Pertiwi
first_f|Ratih
first_f|Sukma
first_f|Tantri
first_f|Utami
first_f|Vera
first_f|Wulandari
first_f|Yuliana
last|Wibowo
last|Santoso
last|Hidayat
last|Nugroho
last|Saputra
last|Kurniawan
last|Setiawan
last|Permana
last|Ramadhan
last|Firmansyah
last|Maulana
last|Suryanto
last|Gunawan
last|Prasetyo
last|Hartono
last|Wijaya
last|Susanto
last|Anggara
last|Pradana
last|Cahyono
last|Mahendra
last|Putranto
last|Iskandar
last|Yulianto
last|Handoko
